lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
20.22434,13.93931,12.05145,20.13029,13.95067,12.25507,20.06123,13.93804,12.32519,20.01686,13.96317,12.4333,138,47,0
20.23392,14.00179,12.13843,20.14193,14.01894,12.33403,20.07412,14.00941,12.40141,20.03183,14.04037,12.5094,139,47,1
20.22115,13.91767,12.02082,20.12631,13.92642,12.22682,20.05681,13.91262,12.29796,20.01204,13.93727,12.40778,140,47,2
20.25477,13.93896,12.01882,20.15287,13.9405,12.2216,20.07649,13.9216,12.29159,20.01792,13.93798,12.40043,141,48,0
20.26639,14.01662,12.12996,20.16715,14.02632,12.32295,20.09235,14.01153,12.38915,20.03618,14.03388,12.49568,142,48,1
20.25422,13.93514,12.01326,20.15217,13.93612,12.21639,20.07567,13.91677,12.28633,20.01688,13.93229,12.39479,143,48,2
20.13689,13.85625,11.99748,20.04185,13.86906,12.20455,19.97198,13.85698,12.27592,19.9285,13.88435,12.38589,144,49,0
20.14952,13.9377,12.10738,20.05731,13.95831,12.30461,19.98908,13.95005,12.37227,19.94792,13.98263,12.47992,145,49,1
20.13615,13.85135,11.99076,20.04096,13.86375,12.19856,19.97099,13.85139,12.27012,19.92732,13.87811,12.37993,146,49,2
19.73384,13.60585,11.95183,19.63935,13.64441,12.16372,19.56925,13.64449,12.23681,19.52799,13.68654,12.34852,147,50,0
19.74673,13.6776,12.03154,19.65499,13.72047,12.23523,19.5865,13.72269,12.30534,19.54745,13.76767,12.41499,148,50,1
19.72883,13.57685,11.91942,19.63313,13.61283,12.13412,19.56232,13.61166,12.20825,19.52001,13.65172,12.3203,149,50,2
19.26479,13.3373,11.88886,19.17999,13.40889,12.10823,19.11704,13.42479,12.18394,19.08505,13.48364,12.29788,150,51,0
19.28484,13.42803,11.9716,19.20471,13.50453,12.18392,19.14464,13.52347,12.25769,19.11673,13.58703,12.37119,151,51,1
19.25882,13.30904,11.86322,19.17314,13.38115,12.08656,19.10985,13.3979,12.16417,19.07745,13.45771,12.27983,152,51,2
18.16405,12.9111,11.79013,18.13972,13.05668,12.02142,18.11983,13.10658,12.10194,18.14186,13.2011,12.22079,153,52,0
18.17455,12.93598,11.80649,18.14884,13.07499,12.03246,18.12731,13.12058,12.11012,18.14682,13.20976,12.22573,154,52,1
18.11529,12.79043,11.71281,18.08166,12.93603,11.95068,18.05679,12.98462,12.03269,18.0719,13.07542,12.15127,155,52,2
18.6774,13.02034,11.81257,18.6128,13.13057,12.03646,18.56541,13.16438,12.11429,18.54421,13.2384,12.22883,156,53,0
18.76257,13.29649,12.0172,18.71445,13.40926,12.22278,18.67607,13.44509,12.29462,18.66804,13.52501,12.40644,157,53,1
18.71447,13.14708,11.90467,18.6579,13.26034,12.12108,18.6151,13.29637,12.19683,18.60064,13.37484,12.31096,158,53,2
18.38713,13.04647,11.84371,18.35037,13.18159,12.06995,18.32157,13.22765,12.14981,18.33028,13.32012,12.2708,159,54,0
18.3894,13.05238,11.84791,18.35272,13.18675,12.0733,18.32378,13.23215,12.15263,18.33243,13.32413,12.27324,160,54,1
18.33986,12.91821,11.75432,18.29526,13.05635,11.99054,18.26255,13.10349,12.07379,18.26599,13.19608,12.19706,161,54,2
18.55891,12.97373,11.75415,18.49586,13.09545,11.98902,18.44917,13.13478,12.0713,18.4325,13.21798,12.19295,162,55,0
18.59273,13.08217,11.83366,18.53551,13.20156,12.05875,18.49184,13.23976,12.13747,18.47991,13.32377,12.25721,163,55,1
18.55441,12.95866,11.74329,18.49025,13.07987,11.97899,18.44296,13.11893,12.06153,18.42573,13.20234,12.18369,164,55,2
18.76626,13.02481,11.7408,18.68769,13.12831,11.97482,18.62906,13.15887,12.05645,18.5939,13.23193,12.17718,165,56,0
18.81438,13.20035,11.87869,18.74554,13.30499,12.09764,18.6924,13.33624,12.17397,18.66548,13.41227,12.29147,166,56,1
18.77859,13.07198,11.77734,18.70269,13.1762,12.00745,18.6456,13.2072,12.08777,18.61273,13.28131,12.20772,167,56,2
18.61768,13.02642,11.80584,18.55487,13.14381,12.0342,18.50825,13.18105,12.11376,18.49536,13.26266,12.23218,168,57,0
18.67096,13.19474,11.93032,18.61763,13.31033,12.14509,18.57592,13.34665,12.21968,18.56962,13.42852,12.33463,169,57,1
18.62595,13.05387,11.82576,18.5646,13.17079,12.05175,18.5187,13.20772,12.13039,18.5066,13.28877,12.24788,170,57,2
18.84932,13.13191,11.83733,18.77791,13.23347,12.06112,18.72455,13.26348,12.13897,18.69887,13.33604,12.2554,171,58,0
18.88596,13.26453,11.94208,18.82155,13.36676,12.15484,18.77199,13.39703,12.22869,18.75181,13.47139,12.34261,172,58,1
18.84967,13.13323,11.83837,18.77832,13.23478,12.06202,18.72498,13.26476,12.13982,18.69933,13.33727,12.25618,173,58,2
18.66071,13.06714,11.8177,18.5901,13.17899,12.0427,18.53667,13.21348,12.12132,18.51314,13.29219,12.23945,174,59,0
18.70167,13.1985,11.91708,18.63855,13.30902,12.13098,18.58916,13.34284,12.20551,18.57154,13.42243,12.32107,175,59,1
18.65872,13.06047,11.81274,18.58751,13.17173,12.03788,18.53371,13.2059,12.11651,18.50978,13.2844,12.23469,176,59,2
18.61939,13.05943,11.84575,18.55913,13.17601,12.06824,18.51417,13.21293,12.1458,18.50122,13.29352,12.26203,177,60,0
18.66514,13.20089,11.94932,18.61272,13.31557,12.16059,18.57185,13.35165,12.23409,18.56477,13.43308,12.34788,178,60,1
18.62018,13.06199,11.84759,18.55993,13.17821,12.06966,18.51501,13.21503,12.1471,18.50215,13.29565,12.2633,179,60,2
18.83096,13.12997,11.8484,18.76082,13.23199,12.07008,18.70856,13.26234,12.14725,18.6847,13.33555,12.26307,180,61,0
18.87868,13.29777,11.97981,18.81801,13.4019,12.18901,18.77089,13.43321,12.26171,18.7545,13.50959,12.3751,181,61,1
18.83905,13.15991,11.87149,18.7709,13.26337,12.09159,18.71975,13.29441,12.16824,18.69749,13.36885,12.28396,182,61,2
18.96879,13.20059,11.86905,18.89866,13.29564,12.08907,18.84636,13.32295,12.16549,18.8227,13.39319,12.28077,183,62,0
19.00874,13.35155,11.99275,18.94598,13.4477,12.19982,18.89757,13.47522,12.27135,18.87936,13.54686,12.38315,184,62,1
18.97249,13.2153,11.88096,18.90289,13.30989,12.09925,18.8508,13.33679,12.1749,18.82729,13.40622,12.28925,185,62,2
18.81985,13.16536,11.88652,18.75833,13.27097,12.10461,18.71228,13.30305,12.18034,18.6971,13.3783,12.2948,186,63,0
18.85227,13.27653,11.97282,18.79618,13.38115,12.18137,18.75298,13.41277,12.25363,18.74201,13.48911,12.36608,187,63,1
18.81277,13.13988,11.86705,18.74967,13.24459,12.08662,18.7028,13.27636,12.16291,18.68658,13.35126,12.27783,188,63,2
19.21058,13.29926,11.8877,19.13154,13.37496,12.10349,19.072,13.39294,12.17829,19.03078,13.44981,12.29116,189,64,0
