juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
San Leandro,30383.0,81597.0,7854.0,6868.0,7173.0,8488.0,21336.0,10153.0,48945.0,74.0,18846.0,6532.0,5587.0,9979.0,7927.0,0.71201256093,45449013.7971,928.573169825
Pinole,6362.0,17368.0,996.0,1150.0,1626.0,2590.0,5855.0,1136.0,7327.0,14.0,1495.0,1345.0,1195.0,2278.0,1000.0,0.543296327925,3894723.0,531.557663437
St. Helena,2487.0,6083.0,531.0,447.0,523.0,986.0,2073.0,706.0,4570.0,599.0,946.0,658.0,780.0,1197.0,390.0,0.5998552822,2687821.0,588.14463895
Fairfield,33503.0,96942.0,6590.0,6940.0,8202.0,11771.0,26620.0,7714.0,44348.0,365.0,6729.0,5822.0,6703.0,10901.0,13828.0,0.629282494365,31418584.9125,708.455508987
San Jose,294283.0,888371.0,67824.0,50655.0,60245.0,115559.0,207299.0,104791.0,359184.0,1534.0,79161.0,34355.0,80665.0,85693.0,77776.0,0.709803231082,251305769.38,699.657471881
South San Francisco,20172.0,59119.0,3302.0,3289.0,4586.0,8995.0,15828.0,5701.0,40880.0,314.0,13372.0,3344.0,7456.0,8808.0,7586.0,0.637225170584,33200134.7367,812.136368313
Palo Alto,25890.0,62458.0,5617.0,3513.0,3774.0,12986.0,16959.0,10200.0,89038.0,253.0,9236.0,3999.0,22867.0,45226.0,7457.0,0.763311516009,49537571.3814,556.364376798
Novato,19757.0,49633.0,3578.0,3562.0,4305.0,8312.0,15039.0,6383.0,25655.0,147.0,1597.0,2468.0,10499.0,5695.0,5249.0,0.656858833699,14828797.5407,578.008089679
Hillsborough,3744.0,10648.0,34.0,39.0,131.0,3540.0,3861.0,0.0,1847.0,7.0,134.0,27.0,704.0,601.0,374.0,0.484848484848,1043481.0,564.95993503
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Half Moon Bay,4154.0,11379.0,494.0,451.0,695.0,2514.0,3252.0,1317.0,3383.0,207.0,222.0,350.0,797.0,1158.0,649.0,0.638683886839,2800364.02649,827.775355155
Windsor,8895.0,25046.0,1692.0,1631.0,2104.0,3468.0,8339.0,1437.0,7630.0,392.0,1327.0,951.0,1478.0,1803.0,1679.0,0.533337330615,6039277.0,791.517300131
Berkeley,47342.0,103677.0,17568.0,8652.0,7867.0,13255.0,23372.0,24342.0,55964.0,41.0,4978.0,5184.0,9209.0,23755.0,12797.0,1.01279308574,35953912.3806,642.447151394
Solano County,6011.0,16702.0,1044.0,1091.0,1406.0,2470.0,5598.0,356.0,3413.0,539.0,831.0,268.0,600.0,449.0,726.0,0.536888174348,2703802.0,792.206856138
Milpitas,18202.0,59113.0,3029.0,2798.0,3746.0,8629.0,14012.0,5370.0,43726.0,143.0,14840.0,4633.0,6671.0,10347.0,7092.0,0.649514701684,35684204.1424,816.086633636
